n,m,k,insert_calls,deletemin_calls,update_calls,heapify_up_calls,heapify_down_calls,insert_heapify_up,deletemin_heapify_up,deletemin_heapify_down,update_heapify_up,update_heapify_down,r_insert,r_deletemin,r_update,i_ratio,d_ratio,u_ratio,log_k_n
2048,8192,2,2002,2002,649,4583,17172,3273,0,17172,1310,0,297.54545454545456,1561.090909090909,119.0909090909091,0.9775390625,0.9775390625,0.0792236328125,11.0
2048,8192,2,2002,2002,638,4469,17062,3261,0,17062,1208,0,296.45454545454544,1551.090909090909,109.81818181818181,0.9775390625,0.9775390625,0.077880859375,11.0
4096,4096,2,89,89,0,121,155,121,0,155,0,0,10.083333333333334,12.916666666666666,0.0,0.021728515625,0.021728515625,0.0,12.0
4096,4096,2,2,2,0,2,2,2,0,2,0,0,0.16666666666666666,0.16666666666666666,0.0,0.00048828125,0.00048828125,0.0,12.0
4096,4096,2,1,1,0,1,1,1,0,1,0,0,0.08333333333333333,0.08333333333333333,0.0,0.000244140625,0.000244140625,0.0,12.0
4096,4096,2,1,1,0,1,1,1,0,1,0,0,0.08333333333333333,0.08333333333333333,0.0,0.000244140625,0.000244140625,0.0,12.0
4096,4096,2,3,3,0,3,3,3,0,3,0,0,0.25,0.25,0.0,0.000732421875,0.000732421875,0.0,12.0
4096,4096,2,26,26,0,36,46,36,0,46,0,0,3.0,3.8333333333333335,0.0,0.00634765625,0.00634765625,0.0,12.0
4096,4096,2,2,2,0,2,2,2,0,2,0,0,0.16666666666666666,0.16666666666666666,0.0,0.00048828125,0.00048828125,0.0,12.0
4096,4096,2,5,5,0,6,5,6,0,5,0,0,0.5,0.4166666666666667,0.0,0.001220703125,0.001220703125,0.0,12.0
4096,4096,2,7,7,0,10,8,10,0,8,0,0,0.8333333333333334,0.6666666666666666,0.0,0.001708984375,0.001708984375,0.0,12.0
4096,4096,2,1,1,0,1,1,1,0,1,0,0,0.08333333333333333,0.08333333333333333,0.0,0.000244140625,0.000244140625,0.0,12.0
4096,4096,2,1,1,0,1,1,1,0,1,0,0,0.08333333333333333,0.08333333333333333,0.0,0.000244140625,0.000244140625,0.0,12.0
4096,4096,2,12,12,0,13,13,13,0,13,0,0,1.0833333333333333,1.0833333333333333,0.0,0.0029296875,0.0029296875,0.0,12.0
4096,4096,2,2,2,0,2,2,2,0,2,0,0,0.16666666666666666,0.16666666666666666,0.0,0.00048828125,0.00048828125,0.0,12.0
4096,4096,2,3,3,0,3,3,3,0,3,0,0,0.25,0.25,0.0,0.000732421875,0.000732421875,0.0,12.0
4096,4096,2,3,3,0,3,3,3,0,3,0,0,0.25,0.25,0.0,0.000732421875,0.000732421875,0.0,12.0
4096,8192,2,3266,3266,205,5249,26439,4853,0,26439,396,0,404.4166666666667,2203.25,33.0,0.79736328125,0.79736328125,0.0250244140625,12.0
4096,8192,2,3266,3266,221,5291,26603,4893,0,26603,398,0,407.75,2216.9166666666665,33.166666666666664,0.79736328125,0.79736328125,0.0269775390625,12.0
4096,8192,2,3266,3266,227,5417,26685,4969,0,26685,448,0,414.0833333333333,2223.75,37.333333333333336,0.79736328125,0.79736328125,0.0277099609375,12.0
