n,m,trial,insert_heapify_up,deletemin_heapify_up,deletemin_heapify_down,update_heapify_up,update_heapify_down,insert_calls,deletemin_calls,update_calls,r_insert,r_deletemin,r_update,log_k_n
16384,229376,1,30974,0,200031,38972,0,16384,16384,21256,0.13503592354910715,0.8720659528459821,0.13096134200763482,14.0
16384,229376,2,30929,0,200136,38807,0,16384,16384,21247,0.13483973911830358,0.8725237165178571,0.13046211566002594,14.0
16384,229376,3,31308,0,200128,38665,0,16384,16384,21053,0.13649204799107142,0.8724888392857143,0.13118252573437109,14.0
16384,229376,4,30737,0,200034,38374,0,16384,16384,20861,0.134002685546875,0.8720790318080357,0.1313935094194909,14.0
16384,229376,5,30917,0,200089,38789,0,16384,16384,21101,0.13478742327008927,0.8723188127790179,0.13130386508425465,14.0
16384,229376,6,30985,0,199866,38903,0,16384,16384,21074,0.13508387974330358,0.8713466099330357,0.13185848506622921,14.0
16384,229376,7,31042,0,200160,39095,0,16384,16384,21203,0.13533238002232142,0.8726283482142857,0.13170306088761025,14.0
16384,229376,8,30862,0,200048,39070,0,16384,16384,21200,0.13454764229910715,0.8721400669642857,0.13163746630727763,14.0
16384,229376,9,30933,0,200071,39200,0,16384,16384,21193,0.134857177734375,0.8722403390066964,0.13211909592790072,14.0
32768,491520,0,62379,0,433090,81470,0,32768,32768,44275,0.126910400390625,0.8811238606770834,0.12267268962921136,15.0
32768,491520,1,62202,0,433278,82247,0,32768,32768,44594,0.12655029296875,0.88150634765625,0.12295675053445157,15.0
32768,491520,2,61711,0,433418,81040,0,32768,32768,44263,0.12555135091145833,0.8817911783854167,0.12205830302208767,15.0
32768,491520,3,62145,0,433202,81804,0,32768,32768,44523,0.126434326171875,0.8813517252604167,0.12248949980908744,15.0
32768,491520,4,62238,0,433295,82015,0,32768,32768,44663,0.12662353515625,0.8815409342447916,0.12242049720499444,15.0
32768,491520,5,62152,0,433311,82281,0,32768,32768,44523,0.12644856770833332,0.881573486328125,0.12320373739415583,15.0
32768,491520,6,62601,0,433468,80947,0,32768,32768,44205,0.127362060546875,0.8818929036458333,0.12207819628247182,15.0
32768,491520,7,62258,0,433237,81787,0,32768,32768,44438,0.12666422526041668,0.8814229329427083,0.12269829125223157,15.0
32768,491520,8,62078,0,433286,81423,0,32768,32768,44493,0.12629801432291668,0.8815226236979167,0.12200121367406108,15.0
32768,491520,9,61890,0,433240,82031,0,32768,32768,44561,0.12591552734375,0.8814290364583334,0.122724654593329,15.0
65536,1048576,0,124425,0,932887,169247,0,65536,65536,92125,0.11866092681884766,0.8896703720092773,0.11482157394843961,16.0
65536,1048576,1,125186,0,932713,170096,0,65536,65536,92511,0.11938667297363281,0.8895044326782227,0.1149160640356282,16.0
65536,1048576,2,125219,0,932836,168949,0,65536,65536,92055,0.11941814422607422,0.8896217346191406,0.11470656129487806,16.0
65536,1048576,3,124830,0,932930,169244,0,65536,65536,92386,0.11904716491699219,0.8897113800048828,0.11449516160457213,16.0
65536,1048576,4,125240,0,932934,169182,0,65536,65536,92319,0.11943817138671875,0.8897151947021484,0.11453628180547883,16.0
65536,1048576,5,124991,0,932984,169861,0,65536,65536,92351,0.1192007064819336,0.8897628784179688,0.11495611850440168,16.0
65536,1048576,6,124446,0,932617,169287,0,65536,65536,92132,0.11868095397949219,0.8894128799438477,0.1148399850214909,16.0
65536,1048576,7,124731,0,932980,168763,0,65536,65536,92225,0.11895275115966797,0.8897590637207031,0.11436907020872865,16.0
65536,1048576,8,125282,0,932731,168794,0,65536,65536,92044,0.11947822570800781,0.889521598815918,0.11461502107687628,16.0
65536,1048576,9,124687,0,932688,168761,0,65536,65536,91682,0.1189107894897461,0.8894805908203125,0.11504507427848433,16.0
131072,2228224,0,250066,0,1997962,352089,0,131072,131072,192157,0.11222659840303309,0.8966611974379596,0.10778226995143983,17.0
131072,2228224,1,250942,0,1998303,352548,0,131072,131072,191865,0.11261973661534927,0.8968142341164982,0.10808702810339992,17.0
131072,2228224,2,249882,0,1997983,352363,0,131072,131072,192258,0.11214402142693014,0.8966706219841453,0.10780948149943122,17.0
131072,2228224,3,250526,0,1998062,352401,0,131072,131072,192264,0.11243304084329044,0.8967060762293199,0.10781774325008996,17.0
131072,2228224,4,250234,0,1998087,351703,0,131072,131072,191787,0.11230199477251838,0.8967172959271599,0.1078718149025006,17.0
131072,2228224,5,250193,0,1997722,352195,0,131072,131072,192332,0.11228359446806066,0.8965534883386949,0.1077166199133606,17.0
131072,2228224,6,250200,0,1998139,352150,0,131072,131072,192091,0.11228673598345588,0.8967406328986672,0.10783798242683384,17.0
131072,2228224,7,249998,0,1998095,351782,0,131072,131072,191728,0.11219608082490809,0.8967208862304688,0.10792924780694219,17.0
131072,2228224,8,250093,0,1997743,352906,0,131072,131072,192300,0.11223871567670037,0.8965629128848805,0.10795203572848797,17.0
131072,2228224,9,250342,0,1997721,352435,0,131072,131072,192562,0.1123504638671875,0.8965530395507812,0.10766127578772185,17.0
262144,4718592,0,339735,0,3266858,43997,0,225131,225131,22167,0.08383637378533683,0.8061622393677953,0.11026651228302331,18.0
262144,4718592,1,1,0,1,0,0,1,1,0,0.05555555555555555,0.05555555555555555,0.0,18.0
262144,4718592,2,339821,0,3266203,43822,0,225131,225131,22032,0.08385759599719472,0.8060006050798079,0.1105008875978375,18.0
262144,4718592,3,340624,0,3267846,43667,0,225131,225131,21991,0.0840557522311701,0.8064060480342556,0.11031533101925535,18.0
262144,4718592,4,339021,0,3265690,43620,0,225131,225131,21883,0.08366018007293531,0.8058740121183765,0.11074045301527823,18.0
262144,4718592,5,338957,0,3266236,44056,0,225131,225131,22139,0.08364438679899457,0.8060087484866836,0.11055402482296199,18.0
262144,4718592,6,340604,0,3266768,43973,0,225132,225132,22138,0.08405044349290391,0.806136449332441,0.11035072926391022,18.0
262144,4718592,7,339004,0,3266422,44114,0,225131,225131,22239,0.0836559849845448,0.8060546476890739,0.1102017976427797,18.0
262144,4718592,8,340212,0,3265936,44106,0,225131,225131,22061,0.0839540830301765,0.8059347175150863,0.1110708187903238,18.0
262144,4718592,9,339782,0,3265865,43464,0,225131,225131,21857,0.08384797197088707,0.8059171968518083,0.11047566759695597,18.0
