n,m,trial,time,insert_calls,deletemin_calls,update_calls,normalized_time
65536,1048576,5,0.707176923751831,65536,65536,92748,3.967155701984131e-08
65536,1048576,6,0.7069721221923828,65536,65536,92883,3.9660067961770386e-08
65536,1048576,7,0.7067739963531494,65536,65536,92546,3.964895340151784e-08
65536,1048576,8,0.7048690319061279,65536,65536,92190,3.954208777405952e-08
65536,1048576,9,0.707787036895752,65536,65536,92515,3.970578344545656e-08
131072,1048576,0,0.785106897354126,131028,131028,104470,3.914960960209296e-08
131072,1048576,1,0.763024091720581,131028,131028,104632,3.804844335022876e-08
131072,1048576,2,0.7734050750732422,131028,131028,105156,3.856609444578294e-08
131072,1048576,3,0.762239933013916,131028,131028,104603,3.8009341022462334e-08
131072,1048576,4,0.7738711833953857,131028,131028,105169,3.858933708816158e-08
131072,1048576,5,0.7726008892059326,131028,131028,104421,3.8525993457167516e-08
131072,1048576,6,0.7625739574432373,131028,131028,104450,3.802599725876539e-08
131072,1048576,7,0.7736110687255859,131028,131028,104444,3.857636638594414e-08
131072,1048576,8,0.7740070819854736,131028,131028,104278,3.859611371535126e-08
131072,1048576,9,0.771669864654541,131028,131028,104806,3.8479567616508387e-08
262144,1048576,0,0.8502552509307861,256969,256969,83028,3.603851534232187e-08
262144,1048576,1,0.8488478660583496,256969,256969,82725,3.597886259538225e-08
262144,1048576,2,0.8512609004974365,256970,256970,83149,3.608114032734496e-08
262144,1048576,3,0.8391621112823486,256969,256969,82815,3.556832679249864e-08
262144,1048576,4,0.8398857116699219,256969,256969,82618,3.559899697494176e-08
262144,1048576,5,0.8504700660705566,256969,256969,83061,3.6047620394836286e-08
262144,1048576,6,0.8506178855895996,256969,256969,82851,3.605388580278183e-08
262144,1048576,7,0.8504171371459961,256969,256969,82576,3.604537697457191e-08
262144,1048576,8,0.84893798828125,256969,256969,83082,3.59826824731297e-08
262144,1048576,9,0.8400766849517822,256969,256969,82831,3.560709147778754e-08
524288,1048576,0,0.8400790691375732,1,1,0,2.8110941473227157e-08
524288,1048576,1,0.9061250686645508,417961,417961,27809,3.032098966446428e-08
524288,1048576,2,0.8053722381591797,1,1,0,2.6949572585229025e-08
