graph,k,trial,time,memory
USA.gr,3,5,49.746864795684814,1355399168
USA.gr,3,6,50.408726930618286,1355481088
USA.gr,3,7,49.746787786483765,1355481088
USA.gr,3,8,49.81647086143494,1355448320
USA.gr,3,9,49.96104383468628,1355579392
USA.gr,3,10,49.67208504676819,1355415552
USA.gr,3,11,50.00615882873535,1355415552
USA.gr,3,12,50.00910401344299,1355481088
USA.gr,3,13,50.12595987319946,1355513856
USA.gr,3,14,50.07936096191406,1355481088
USA.gr,3,15,50.06147289276123,1355513856
USA.gr,3,16,50.07943296432495,1355464704
USA.gr,3,17,49.810381174087524,1355563008
USA.gr,3,18,49.9589478969574,1355481088
USA.gr,3,19,49.991251945495605,1355743232
USA.gr,3,20,49.780308961868286,1355415552
USA.gr,3,21,50.02987313270569,1355546624
USA.gr,3,22,49.983139991760254,1355563008
USA.gr,3,23,50.02662014961243,1355431936
USA.gr,3,24,50.12347960472107,1355513856
USA.gr,3,25,49.95300912857056,1355825152
USA.gr,3,26,49.754756927490234,1355563008
USA.gr,3,27,49.92182207107544,1355579392
USA.gr,3,28,49.99512600898743,1355481088
USA.gr,3,29,49.90527415275574,1355513856
USA.gr,4,0,49.852473974227905,1355497472
USA.gr,4,1,49.99569606781006,1355612160
USA.gr,4,2,50.03261113166809,1355350016
USA.gr,4,3,49.86993598937988,1355464704
USA.gr,4,4,49.9604868888855,1355481088
USA.gr,4,5,49.911349058151245,1355415552
USA.gr,4,6,49.94761419296265,1355399168
USA.gr,4,7,50.024625062942505,1355825152
USA.gr,4,8,49.88521480560303,1355497472
USA.gr,4,9,50.222877979278564,1355448320
USA.gr,4,10,50.02385210990906,1355464704
USA.gr,4,11,49.9317421913147,1355415552
USA.gr,4,12,50.02094316482544,1355431936
USA.gr,4,13,49.810258865356445,1355612160
USA.gr,4,14,49.81225609779358,1355464704
USA.gr,4,15,50.07906103134155,1355415552
USA.gr,4,16,50.06283903121948,1355481088
USA.gr,4,17,49.89175987243652,1355563008
USA.gr,4,18,49.880587100982666,1355563008
USA.gr,4,19,49.819916009902954,1355644928
USA.gr,4,20,49.83061408996582,1355497472
USA.gr,4,21,50.048840045928955,1355546624
USA.gr,4,22,49.90231919288635,1355448320
USA.gr,4,23,52.55943489074707,1355464704
USA.gr,4,24,50.72292685508728,1355726848
USA.gr,4,25,50.28013491630554,1355776000
USA.gr,4,26,50.33093190193176,1355595776
USA.gr,4,27,50.296234369277954,1355497472
USA.gr,4,28,50.30735111236572,1355563008
USA.gr,4,29,50.27934169769287,1355513856
USA.gr,6,0,50.721731185913086,1355595776
USA.gr,6,1,50.29885292053223,1355481088
USA.gr,6,2,50.86410093307495,1355595776
USA.gr,6,3,52.3096661567688,1355628544
USA.gr,6,4,50.324989795684814,1355579392
USA.gr,6,5,50.31489706039429,1355497472
USA.gr,6,6,51.05060601234436,1355759616
USA.gr,6,7,50.99141883850098,1355743232
USA.gr,6,8,50.47395896911621,1355743232
USA.gr,6,9,50.08290982246399,1355743232
USA.gr,6,10,50.48062014579773,1355612160
USA.gr,6,11,49.90024280548096,1355546624
USA.gr,6,12,50.02963304519653,1355677696
USA.gr,6,13,49.8719687461853,1355546624
USA.gr,6,14,50.16847014427185,1355497472
USA.gr,6,15,50.18839383125305,1355513856
USA.gr,6,16,50.363576889038086,1355448320
USA.gr,6,17,50.198846101760864,1355546624
USA.gr,6,18,50.33224892616272,1355595776
USA.gr,6,19,50.267354011535645,1355546624
USA.gr,6,20,49.8590190410614,1355497472
USA.gr,6,21,50.05610632896423,1355431936
USA.gr,6,22,50.16837024688721,1355563008
USA.gr,6,23,50.32074809074402,1355513856
USA.gr,6,24,50.27614712715149,1355546624
USA.gr,6,25,50.30267000198364,1355759616
USA.gr,6,26,49.92494583129883,1355431936
USA.gr,6,27,50.05707502365112,1355431936
USA.gr,6,28,49.998265981674194,1355497472
USA.gr,6,29,50.16695809364319,1355431936
USA.gr,8,0,50.23589777946472,1355513856
USA.gr,8,1,50.19289422035217,1355563008
USA.gr,8,2,50.33767080307007,1355464704
USA.gr,8,3,50.43376302719116,1355579392
USA.gr,8,4,50.28621578216553,1355513856
USA.gr,8,5,50.25997710227966,1355448320
USA.gr,8,6,50.420027017593384,1355743232
USA.gr,8,7,51.5828070640564,1355792384
USA.gr,8,8,50.2867488861084,1355448320
USA.gr,8,9,50.143895864486694,1355513856
USA.gr,8,10,50.27521896362305,1355530240
USA.gr,8,11,50.182132959365845,1355448320
USA.gr,8,12,50.22927522659302,1355628544
USA.gr,8,13,50.1816029548645,1355563008
USA.gr,8,14,50.42058491706848,1355481088
USA.gr,8,15,50.531447887420654,1355563008
USA.gr,8,16,50.387415170669556,1355546624
